customer_id,product_id,basket_date,basket_count
42366585,41475073,2019-06-19,2
35956841,43279538,2019-06-19,2
26139578,31715598,2019-06-19,3
3262253,47880260,2019-06-19,2
20056678,44747002,2019-06-19,2
32037116,33739394,2019-06-19,2
17565651,46000191,2019-06-19,2
42079380,46881033,2019-06-19,2
25533477,44752779,2019-06-19,2
10385144,41882886,2019-06-19,2
5216868,8670770,2019-06-19,6
9036689,33914921,2019-06-19,2
20265792,46026447,2019-06-19,2
34654104,3632762,2019-06-19,2
31159555,33218001,2019-06-19,2
31733002,5941180,2019-06-18,2
44025439,34631629,2019-06-18,2
1920107,46675683,2019-06-18,2
13374538,33276794,2019-06-18,2
12434467,7445901,2019-06-18,2
25371082,39475547,2019-06-18,2
2068361,42402177,2019-06-18,2
28204561,39058017,2019-06-18,3
44417560,43864701,2019-06-18,2
29215183,32356464,2019-06-18,2
11360880,47007182,2019-06-18,2
22068103,35420610,2019-06-17,2
6056954,42522846,2019-06-17,2
13535048,43812675,2019-06-17,2
28048336,48333960,2019-06-17,2
7950100,42478659,2019-06-17,2
8928341,1197926,2019-06-17,2
34368983,37145767,2019-06-17,2
11259103,37720451,2019-06-17,2
31493048,38221381,2019-06-17,2
43213385,4131698,2019-06-17,2
43352582,43357885,2019-06-17,2
2966006,33028204,2019-06-17,2
3779615,51605574,2019-06-17,2
31616251,50615765,2019-06-17,2
44416693,40276068,2019-06-17,2
2809135,6568127,2019-06-17,2
520652,46455283,2019-06-17,2
13418756,34366102,2019-06-17,2
16289848,40220752,2019-06-17,2
23460100,6844409,2019-06-17,2
40411726,2129027,2019-06-17,2
21159636,47608896,2019-06-17,2
12375065,38963117,2019-06-17,2
3343477,50416775,2019-06-17,2
43569820,47019441,2019-06-17,2
20861832,47122587,2019-06-17,2
42996398,31508759,2019-06-18,2
14792714,37621862,2019-06-18,2
11257276,47007182,2019-06-17,2
23878579,34944273,2019-06-17,2
11350951,44263141,2019-06-17,2
42823122,49953830,2019-06-17,2
15335022,31294046,2019-06-17,2
19138173,40276011,2019-06-17,2
28655652,49817430,2019-06-17,2
1599046,32556376,2019-06-17,2
27450196,35008370,2019-06-17,2
42541854,50041873,2019-06-17,2
2090140,48346739,2019-06-17,2
43043252,33712748,2019-06-17,2
8917417,1068944,2019-06-17,2
7751651,46500920,2019-06-16,3
23462918,6259159,2019-06-16,2
44095389,33875067,2019-06-16,2
44364979,32942036,2019-06-16,2
9912477,31299289,2019-06-16,2
25083717,31546667,2019-06-16,3
20362680,46858785,2019-06-16,2
40228358,42723219,2019-06-16,2
17922308,926270,2019-06-16,2
27641594,33506465,2019-06-16,3
4749863,33354168,2019-06-16,3
34508812,40276068,2019-06-16,2
44382631,43314126,2019-06-16,2
10095537,47933392,2019-06-16,2
9567372,51821712,2019-06-17,2
11344926,47057070,2019-06-16,2
1357108,43902407,2019-06-16,2
9116458,49693345,2019-06-16,2
2499367,1263722,2019-06-16,2
2153897,51042056,2019-06-16,2
16974894,339429,2019-06-16,2
10918767,3257032,2019-06-16,2
44363986,39024454,2019-06-16,2
27021765,3549934,2019-06-16,2
33060425,34927870,2019-06-16,2
29196935,43864288,2019-06-16,2
17572286,36308101,2019-06-16,2
14997362,31324877,2019-06-16,2
34658130,50350530,2019-06-16,2
40934891,2565792,2019-06-16,2
31480906,6102908,2019-06-16,2
18454467,50803208,2019-06-16,2
3846865,3125977,2019-06-16,2
1227904,43482185,2019-06-16,3
10458906,3714100,2019-06-16,2
1070869,46130148,2019-06-16,2
28037137,34981913,2019-06-16,2
20098151,35167685,2019-06-16,2
16049544,53560311,2019-06-16,2
12376998,50836009,2019-06-16,3
32756438,53035093,2019-06-16,2
3460147,50436075,2019-06-16,2
31600282,31780330,2019-06-16,2
15177298,2963490,2019-06-16,2
33513547,5995368,2019-06-16,2
5226041,46134461,2019-06-16,2
29697847,44767226,2019-06-16,2
943919,37215955,2019-06-16,2
29462763,35191492,2019-06-16,2
25752881,36481470,2019-06-16,2
10673417,86003,2019-06-16,2
10673417,39648211,2019-06-16,2
33650865,50462654,2019-06-16,2
10702365,49226769,2019-06-16,2
13483322,54592777,2019-06-16,2
14571889,32570198,2019-06-15,2
11222196,34642271,2019-06-16,2
2429391,31540074,2019-06-16,2
21354334,34081119,2019-06-15,2
11608660,47639646,2019-06-15,2
29816325,42244011,2019-06-15,3
14953708,49860049,2019-06-15,3
28758609,35545522,2019-06-15,2
43486119,44146315,2019-06-15,2
8842411,44471280,2019-06-15,2
2118687,38270608,2019-06-15,2
2118687,32586402,2019-06-15,2
38547897,32792042,2019-06-15,2
6527616,44267470,2019-06-15,2
13943634,31884711,2019-06-15,2
40802277,38950239,2019-06-15,2
42884718,34035848,2019-06-15,2
4810556,33781223,2019-06-15,2
26633229,33028936,2019-06-15,3
27507650,4915558,2019-06-15,3
10974747,2864832,2019-06-15,2
43594568,31614416,2019-06-15,2
13635398,5977588,2019-06-15,2
23424372,40455682,2019-06-15,2
4950885,46072637,2019-06-15,2
31041476,35810906,2019-06-15,2
6945297,37758603,2019-06-15,2
3492878,50116869,2019-06-15,2
10872901,39845663,2019-06-15,2
5932302,34859104,2019-06-15,2
4897641,34525548,2019-06-15,2
35960037,31541857,2019-06-15,3
6128936,46296421,2019-06-15,2
7463078,37356069,2019-06-15,2
3436696,26496209,2019-06-15,2
10233112,52238545,2019-06-15,2
2469408,42383131,2019-06-15,3
16158773,41883914,2019-06-15,2
924399,44767258,2019-06-15,2
11404710,51887498,2019-06-15,2
6677529,50231451,2019-06-15,2
36710547,458885,2019-06-15,2
38962029,51030750,2019-06-15,2
34042133,31125069,2019-06-15,2
39799296,42780162,2019-06-15,2
14491963,39684405,2019-06-15,2
10334216,34525502,2019-06-15,2
27659902,34689678,2019-06-15,2
17398974,34441398,2019-06-16,2
2256737,6538172,2019-06-15,2
1612736,4451125,2019-06-15,2
5984987,51034595,2019-06-15,2
11004573,50596116,2019-06-15,3
30996342,46364529,2019-06-15,2
36585170,41144281,2019-06-15,2
6075886,35109012,2019-06-15,2
26633229,43524799,2019-06-15,2
6371156,32251825,2019-06-15,2
12272,232285,2019-06-15,2
41608570,31720319,2019-06-15,2
42968094,6531200,2019-06-14,2
36115179,3213828,2019-06-14,2
39042643,39359897,2019-06-14,3
33869609,48964455,2019-06-14,2
1639831,3937199,2019-06-14,2
1049021,4795856,2019-06-14,2
30769451,43332848,2019-06-14,3
7906530,32418640,2019-06-14,2
15278569,42114320,2019-06-14,2
4697099,40736994,2019-06-14,2
19625674,48726494,2019-06-14,2
33878826,31978880,2019-06-14,2
1599524,44746811,2019-06-14,2
37373667,41727481,2019-06-14,2
11089130,53669665,2019-06-14,2
23713179,46692673,2019-06-14,3
7768276,35607765,2019-06-14,2
31276656,40594443,2019-06-14,2
21414215,52199862,2019-06-14,2
15741841,50891208,2019-06-14,2
16042702,40760526,2019-06-14,2
16048941,46167279,2019-06-14,2
15741841,48031618,2019-06-14,2
1547464,39827537,2019-06-14,2
31550010,41313598,2019-06-14,2
26788522,34407849,2019-06-18,2
30085572,51183379,2019-06-18,4
12857595,50601765,2019-06-18,2
21898560,40448251,2019-06-18,2
13372025,40204599,2019-06-18,2
12304334,41381269,2019-06-18,3
31638616,35505100,2019-06-18,2
14273568,43888529,2019-06-18,3
18146945,32282126,2019-06-18,2
24742239,49650994,2019-06-18,2
10416769,50059355,2019-06-18,2
1578791,31573900,2019-06-18,2
7782295,32613496,2019-06-18,4
15606177,3177325,2019-06-18,2
6948836,3058908,2019-06-18,3
22573283,39543957,2019-06-18,2
4130872,52403341,2019-06-18,2
34531043,48018509,2019-06-18,2
22963164,33109072,2019-06-18,2
7150976,47047732,2019-06-18,2
18506470,52924977,2019-06-18,2
39744737,40276077,2019-06-18,2
19061408,37078285,2019-06-18,2
34857404,38195391,2019-06-18,2
7653228,32242274,2019-06-18,2
20997659,49119444,2019-06-18,2
35334684,6194478,2019-06-18,2
16915612,37674279,2019-06-18,2
44415679,46280444,2019-06-18,2
19282386,55445659,2019-06-18,3
15367725,48051805,2019-06-18,2
15853025,6911634,2019-06-18,2
42839839,51881932,2019-06-18,2
20575244,51981259,2019-06-18,2
30656308,50390402,2019-06-19,2
5897414,46106748,2019-06-19,2
10437074,3735903,2019-06-19,3
30617300,32128322,2019-06-19,2
20517889,32229707,2019-06-19,2
17420231,31560347,2019-06-18,2
20380836,41771898,2019-06-19,2
6683186,34373617,2019-06-19,2
24464827,48631902,2019-06-18,2
13475802,44076001,2019-06-18,2
14735625,47108940,2019-06-19,2
20653843,32397777,2019-06-18,4
7130239,1069267,2019-06-18,2
17915586,46040537,2019-06-18,2
12273495,42887442,2019-06-14,2
6723024,44167642,2019-06-14,2
26115146,32099744,2019-06-15,2
23531841,50784707,2019-06-14,2
8571659,1069456,2019-06-14,2
853186,46876805,2019-06-14,2
44212229,2301364,2019-06-15,4
10113448,25458659,2019-06-14,2
5040972,31288872,2019-06-14,2
31498743,47891714,2019-06-14,2
33039898,49047266,2019-06-13,3
32774082,51840644,2019-06-13,2
10478837,44749980,2019-06-13,2
17020047,6938963,2019-06-13,2
11174575,33855676,2019-06-13,2
1036934,47365687,2019-06-13,2
27353728,33966228,2019-06-13,2
23893799,49267348,2019-06-13,2
23893799,51744192,2019-06-13,2
8707143,40946466,2019-06-13,2
29865301,46651068,2019-06-13,2
22691390,44289413,2019-06-13,2
41131037,48093124,2019-06-13,2
2222812,46264677,2019-06-13,2
8655171,1069969,2019-06-13,2
1838899,53610850,2019-06-13,2
16826822,46315448,2019-06-13,2
12359985,6362696,2019-06-13,2
9917254,35504415,2019-06-13,2
17674158,50147514,2019-06-13,3
30647820,38656612,2019-06-13,2
43233031,51304424,2019-06-13,3
13710368,2174680,2019-06-13,2
28588808,43518444,2019-06-13,2
29680005,46234841,2019-06-13,2
6707480,6687642,2019-06-13,2
25479094,36803109,2019-06-13,2
14393628,40275989,2019-06-13,2
11055739,52784074,2019-06-13,2
10753151,31928645,2019-06-13,2
20400518,48339717,2019-06-13,2
38367645,50935511,2019-06-13,2
9649603,75827,2019-06-13,2
26604896,34743697,2019-06-13,2
4130264,48498705,2019-06-13,2
35422870,41666127,2019-06-13,2
23401238,31544299,2019-06-13,2
1051979,33259863,2019-06-13,2
32676666,4359177,2019-06-13,2
10661854,2486022,2019-06-13,2
17936038,40302663,2019-06-12,2
25601143,33059472,2019-06-13,2
13216368,51821518,2019-06-12,2
5391782,40573366,2019-06-12,2
17010521,31074229,2019-06-12,2
34955959,33976946,2019-06-12,3
10465604,48660783,2019-06-12,2
43811620,45607225,2019-06-12,5
44028198,36287318,2019-06-12,4
24639135,34759897,2019-06-12,2
23809874,51257148,2019-06-12,2
10970628,35490500,2019-06-12,2
38387437,43893061,2019-06-12,2
34713662,46275901,2019-06-12,2
34548622,42617386,2019-06-12,2
11353053,33272213,2019-06-12,2
20654394,3373740,2019-06-12,2
3233686,51577916,2019-06-12,2
25707035,48161383,2019-06-12,2
21168306,37214422,2019-06-12,2
11313419,38272202,2019-06-12,2
33918182,34417305,2019-06-12,2
10609460,42366284,2019-06-12,2
40020822,35210234,2019-06-12,2
26432100,1290866,2019-06-12,2
32967274,43914080,2019-06-12,2
30649267,2584954,2019-06-12,2
18986938,41631706,2019-06-12,2
4946613,50614243,2019-06-12,2
17910202,2119554,2019-06-12,3
11328733,6071932,2019-06-12,2
1117990,42001725,2019-06-12,2
10044453,45995859,2019-06-12,2
17586951,47498750,2019-06-11,3
4232633,31264988,2019-06-12,2
14536264,31929332,2019-06-11,2
16083360,32062664,2019-06-11,2
43964413,49563351,2019-06-12,2
3799237,46882361,2019-06-11,2
24989857,31574046,2019-06-11,2
9905865,2389219,2019-06-12,2
37108659,33135320,2019-06-11,2
37003864,194476,2019-06-11,2
2693398,2037881,2019-06-11,3
13871654,52400203,2019-06-12,4
27338143,37119662,2019-06-12,2
6415039,1263668,2019-06-12,2
8309537,6057155,2019-06-11,2
35097013,44743774,2019-06-11,2
20703289,35606222,2019-06-11,2
8848196,37956563,2019-06-11,2
